"","dataset","ccode","cnumb","cluster","clust2","cname","yrbeg","yrend","decade","geo","royal","euro","lac","mideast","asia","africa","warend2","warend5","warend10","noviol2","noviol5","noviol10","gurr2","gurr5","gurr10","pol982","pol985","pol9810","polity2","polity5","polity10","pbs2ll","pbs2l","pbs5l","pbs10l","bollen80","gpol2","gciv2","gpol5","gciv5","gpol10","gciv10","gurrlag5","gurrlagx","outcome","outcome2","treaty","wardur","wartype","unintrvn","uncint","un2int","un2cint","untype","nouncint","peaceop","interven","major","pw10","elf","factmf","factnum","battle","dead","ridp","lifes","lifee","garm","gdp60","gdp85","gdpcap","rgdpcaps","rgdpcape","rgdpch","rgdpch2","aid91","en1","en2st","en2end","area","popst","popen5","popen10","popgro","infst","border","illit","illitend","water","gini1","transf85","sxp","nettrans","electric","en9903s","eh","coldwar","pbs2s3","pbs2s6","pbs2s9","pbs5s3","pbs5s6","pbs5s9","outcome3","negout","milout","logdead","trnsfcap","encaps","cost","costcap","intense","logcost","faction","factn1","factn2","un2cint1","un2cint2","un2cint3","un2cint4","un2cint5","untype1","untype2","untype3","untype4","untype5","strongUN","UNops","UNop1","UNop2","UNop3","UNop4","treatUN","outUN","factnum2","logpop","elfpop","elfpop2","untreaty","unout","exp","energy","ielec","ielf","ielf2","ielfpol","gini","ielfgini","gdp","PKO","enforce","truce","vrebel","vgov","UNopindx","RC2","IC2","LC2","develop","devel","PredUN","ResUN","Pred2UN","Res2UN","L1","Phat1","L2","Phat2","L3","Phat3","L4","Phat4","L5","Phat5","L6","Phat6","L7","Phat7","L8","Phat8","L10","Phat10","L11","Phat11","L12","Phat12","L13","Phat13","L14","Phat14","L15","Phat15","L16","Phat16","L17","Phat17"
"1",8,"AFG2",2,"AFG","AFG","Afghanistan-Taliban",93,NA,5,3,0,0,0,1,1,0,"No","No","No","No","No","No",3,3,NA,3,3,NA,-20,-20,-20,0,"Failure","Failure","Failure",0,7,7,7,7,7,NA,0,0,"War","War",0,72,1,"No","None",1,"Mediation","None",0,0,0,0,"Yes",66,"Many",4,NA,10000,3000000,43.5,46.8300018310547,11,NA,NA,198,800,800,800,198,NA,NA,NA,NA,652090,22142620,NA,NA,NA,160,4,71,70,20,NA,143700000,NA,1.27e+08,NA,1697,90,0,0,"Failure",0,0,0,0,0,0,1,9.21034049987793,5.73554515838623,7.66395314713009e-05,3010000,0.135936945676804,0.00188801309559494,14.9174509048462,"3+",0,1,0,1,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,16,16.9130153656006,1461412864,1461412864,0,0,0.121727712452412,NA,NA,66,4356,198,40.6733436584473,2684.44067382812,800,0,0,0,0,0,0,0.514546573162079,0.0015024715103209,NA,132.846603393555,132.846603393555,0.141923397779465,-0.858076572418213,0.135214611887932,-0.864785373210907,-3.00869297981262,0.0470346957445145,-4.98897695541382,0.00676653254777193,-4.32805919647217,0.0130213359370828,-0.126057431101799,0.468527317047119,-5.46530532836914,0.00421322276815772,-4.73275232315063,0.00872540846467018,-3.43554615974426,0.0312028396874666,-5.51859951019287,0.00399543438106775,-5.79040431976318,0.00304743088781834,-1.58840262889862,0.169608756899834,-5.16070890426636,0.00570489838719368,-0.95870715379715,0.277137130498886,-2.87435960769653,0.0534357130527496,1.32764208316803,0.79045033454895,-0.605454087257385,0.35309687256813,3.59654760360718,0.973313450813293
"2",1,"AFG1",1,"AFG","AFG","Afghanistan",78,92,4,3,0,0,0,1,1,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,-20,-20,-20,0,"Failure","Failure","Failure",0,7,7,7,7,7,NA,3,3,"Victory","Victory-Rebels",0,168,0,"No","None",0,"None","None",0,0,1,1,"No",66,"Many",6,1055000,1200000,5200000,40.0999984741211,43.5,11,NA,NA,198,198,198,198,198,NA,0.0199999995529652,56.9500007629395,144.929992675781,652090,13051258,23738085,NA,2.79999995231628,183,4,81.8000030517578,71,10,NA,143700000,NA,1.27e+08,NA,986,90,1,0,"Failure",0,0,0,0,0,0,1,13.9978322982788,9.73086261749268,7.5548276072368e-05,6400000,0.490374177694321,0.00291889393702149,15.6718082427979,"3+",0,1,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,36,16.3843955993652,861383040,861383040,0,0,0.116329222917557,56.9500007629395,228.779022216797,66,4356,NA,36.6765213012695,2420.650390625,198,0,0,0,1,0,0,0.426928341388702,0.00254907668568194,NA,132,132,0.15783379971981,0.15783379971981,0.186391204595566,0.186391204595566,-3.0091814994812,0.0470128022134304,-4.98946571350098,0.00676324870437384,-4.32854747772217,0.0130150616168976,-0.126545980572701,0.468405663967133,-6.70619678497314,0.00122181314509362,-5.9736442565918,0.00253848964348435,-3.83880114555359,0.0210660565644503,-5.9218544960022,0.00267306063324213,-6.19365930557251,0.00203817686997354,-1.99165761470795,0.120081603527069,-5.16119718551636,0.00570212909951806,-0.959195673465729,0.277039259672165,-3.27761459350586,0.0363471768796444,0.924387156963348,0.715935170650482,-0.605942606925964,0.352985292673111,3.5960590839386,0.973300814628601
"3",9,"MEX",88,"MEX","MEX","Mexico",92,94,5,2,0,0,1,0,0,0,"Yes","Yes",NA,"Yes","Yes",NA,14,16,NA,14,16,NA,14,16,NA,1,"Success","Success",NA,NA,NA,NA,NA,NA,NA,NA,7,7,"Victory","Victory-Govt",0,24,1,"No","None",0,"None","None",0,0,0,0,"No",30,"Few",2,NA,1000,0,70.7699966430664,71.9700012207031,1007,NA,NA,5827,5827,5827,6253,6253,NA,NA,NA,NA,1958200,86329616,NA,NA,NA,34,3,12.3999996185303,10.6000003814697,83,50.310001373291,1.984e+09,0.0610000006854534,1.09e+09,1533,132814,40,0,1,"Success",1,1,1,1,0,0,1,6.90775537490845,12.6260261535645,0.00153845234308392,1000,1.15835100586992e-05,4.82646271393605e-07,6.90775537490845,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,18.2736835479736,2589888512,2589888512,0,0,0.0610000006854534,1326.14611816406,1533,30,900,420,50.310001373291,1509.30004882812,6253,0,0,0,0,1,0,0.339463710784912,0.00330748758278787,0.454936981201172,1533,1533,0.0602967962622643,0.0602967962622643,0.0105371680110693,0.0105371680110693,-2.20071005821228,0.0996867418289185,-4.18099451065063,0.0150532377883792,-3.52007627487183,0.0287463665008545,0.681925415992737,0.664168298244476,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,0.846177339553833,0.699764609336853,-1.23687589168549,0.224980250000954,-1.50868082046509,0.1811343729496,2.69332075119019,0.936631381511688,-4.35272598266602,0.0127081023529172,-0.150724321603775,0.462390094995499,1.40736389160156,0.803349852561951,5.60936546325684,0.996349990367889,0.202528744935989,0.550459802150726,4.40453052520752,0.987925708293915
"4",1,"RUS",109,"RUS","FSU","Russia-Chechnya",94,96,5,1,0,1,0,0,0,0,"Yes",NA,NA,"No",NA,NA,14,NA,NA,14,NA,NA,-20,NA,NA,0,"Failure",NA,NA,NA,3,4,4,4,NA,NA,11,7,"Truce","Settlement",1,24,1,"No","None",0,"None","None",0,0,0,1,"Yes",NA,"Few",2,NA,30000,400000,67.8000030517578,65,1128,NA,NA,1451,NA,NA,4700,7741,NA,NA,NA,NA,19320,1000000,NA,NA,NA,18,3,3.5,2.09999990463257,56,30.5300006866455,NA,NA,-1.12e+08,2216.60791015625,1716076,32,0,0,"Failure",0,NA,NA,NA,1,1,0,10.308952331543,-112,1.71607601642609,430000,0.430000007152557,0.0179166663438082,12.9715404510498,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,13.8155107498169,NA,NA,0,0,0.129451289772987,1893.25427246094,2216.60791015625,23.2415046691895,540.167541503906,325.381072998047,30.5300006866455,709.563171386719,4700,0,0,0,0,0,0,0.416848331689835,-0.0293392855674028,0.440736770629883,2216.60791015625,2216.60791015625,0.331806987524033,0.331806987524033,0.462600618600845,0.462600618600845,-1.80622231960297,0.1410953104496,-3.78650641441345,0.0221719387918711,-3.12558841705322,0.0420640110969543,1.07641315460205,0.745814621448517,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,-2.39532566070557,0.0835298299789429,-4.4783787727356,0.0112243853509426,-4.75018358230591,0.00857592467218637,-0.548182010650635,0.366286307573318,-3.95823812484741,0.018738878890872,0.243763491511345,0.560640871524811,-1.83413898944855,0.137745946645737,2.36786270141602,0.914343595504761,0.597016572952271,0.644973456859589,4.79901838302612,0.991829454898834
"5",9,"THA",123,"THA","THA","Thailand-Commun.",67,85,3,4,0,0,0,0,1,0,"Yes","Yes","Yes","Yes","Yes","Yes",12,15,19,12,15,19,12,15,19,1,"Success","Success","Success",NA,3,3,2,3,3,4,3,3,"Victory","Victory-Govt",0,216,1,"No","None",0,"None","None",0,0,1,1,"No",66,"Few",2,NA,10000,0,55,66,558,943,NA,1136,1136,2463,3600,1136,NA,NA,NA,NA,513120,30641000,NA,NA,NA,95,3,20,9.80000019073486,76,41.2799987792969,165239728,0.142000004649162,1.31e+08,1295,3493,20,1,1,"Success",1,1,1,1,0,0,1,9.21034049987793,4.27531719207764,0.00011399758659536,10000,0.000326360110193491,1.51092638134287e-06,9.21034049987793,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,17.237850189209,2022306048,2022306048,0,0,0.142000004649162,1128.70581054688,1295,66,4356,792,41.2799987792969,2724.47998046875,3600,0,0,0,0,1,0,0.435515433549881,0.00111995323095471,0.300196766853333,1295,1295,0.0144556574523449,0.0144556574523449,0.00910985004156828,0.00910985004156828,-2.33805203437805,0.0880201607942581,-4.31833648681641,0.0131468838080764,-3.6574182510376,0.0251501835882664,0.544583380222321,0.632878005504608,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,-0.384710013866425,0.404991388320923,-2.4677631855011,0.0781492292881012,-2.73956823348999,0.0606785081326962,1.46243357658386,0.811904609203339,-4.49006795883179,0.0110953925177455,-0.288066357374191,0.428477317094803,0.176476582884789,0.54400497674942,4.37847852706909,0.987610995769501,0.0651867091655731,0.516290903091431,4.26718854904175,0.986172735691071
"6",1,"CHD1",24,"CHD","CHD","Chad",65,79,3,5,0,0,0,0,0,1,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,-20,-20,-20,0,"Failure","Failure","Failure",6,6,7,7,6,6,7,1,1,"Settlement","Settlement",1,168,1,"No","None",0,"None","None",1,1,1,1,"Yes",69,"Many",11,11200,50000,320000,35.4700012207031,39,35,664,NA,135,736,409,528,409,NA,NA,NA,NA,1284000,3334000,NA,NA,NA,189,6,77,77,27,29.6000003814697,140714976,0.0900000035762787,86650369,10,51,144,1,0,"Failure",0,0,0,0,1,1,0,10.8197784423828,25.9899120330811,1.529694054625e-05,370000,0.110977806150913,0.000660582154523581,12.8212585449219,"3+",0,1,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,121,15.0196828842163,230046000,230046000,0,0,0.0900000035762787,62.6942253112793,10,69,4761,NA,29.6000003814697,2042.40002441406,528,0,0,0,0,0,0,0.821955263614655,0.00680826371535659,0.0273281596601009,10,10,0.00126866437494755,0.00126866437494755,0.00473214173689485,0.00473214173689485,-3.07958364486694,0.043957307934761,-5.05986785888672,0.00630637537688017,-4.39895009994507,0.0121410209685564,-0.196948200464249,0.450921475887299,-5.80540990829468,0.00300218001939356,-5.07285690307617,0.0062254979275167,-2.31498980522156,0.0898890942335129,-4.39804315567017,0.0121519025415182,-4.66984796524048,0.00928664393723011,-0.467846184968948,0.385126143693924,-5.23159980773926,0.00531655084341764,-1.02959787845612,0.263162076473236,-1.75380313396454,0.14756815135479,2.44819855690002,0.920429587364197,-0.676344871520996,0.337077587842941,3.52565693855286,0.971409022808075
"7",1,"CON1",31,"CON","CON","Congo Brazzaville",92,96,6,5,0,0,0,0,0,1,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,-20,NA,NA,0,"Failure","Failure",NA,NA,7,5,7,5,NA,NA,9,6,"Settlement","Settlement",1,36,0,"No","None",0,"None","None",0,0,1,0,"No",66,"Few",2,NA,2000,200000,48.8899993896484,48.4900016784668,27.2999992370605,756,NA,2211,2211,2211,2240,2240,NA,NA,NA,NA,342000,2707600,NA,NA,NA,90,5,5.30000019073486,5.30000019073486,38,NA,NA,0.508000016212463,4760992.5,94.0545883178711,865,55,0,0,"Failure",0,0,0,0,1,1,0,7.60090255737305,1.75838100910187,0.00031947111710906,202000,0.0746048167347908,0.00207235594280064,12.2160234451294,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,14.8115730285645,178701600,178701600,0,0,0.508000016212463,132.42431640625,94.0545883178711,66,4356,NA,38.354549407959,2531.40014648438,2240,0,0,0,0,0,0,0.211373269557953,0.000460621813545004,0.120729774236679,94.0545883178711,94.0545883178711,0.194336667656898,0.194336667656898,0.22641184926033,0.22641184926033,-3.03107857704163,0.0460414327681065,-5.01136255264282,0.00661773374304175,-4.35044479370117,0.0127367554232478,-0.148443028330803,0.462957233190536,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,-1.99145066738129,0.120103470981121,-4.07450389862061,0.01671645604074,-4.34630870819092,0.0127888694405556,-0.144307136535645,0.463985681533813,-5.18309450149536,0.00557931419461966,-0.981092751026154,0.272675007581711,-1.43026411533356,0.193057537078857,2.77173757553101,0.941129326820374,-0.627839684486389,0.348000556230545,3.57416200637817,0.972725808620453
"8",1,"ZAI2",35,"ZAI","ZAI","Congo-Kisanguni",67,67,3,5,0,0,0,0,0,1,"Yes","Yes","No","Yes","Yes","No",1,1,1,1,1,1,1,1,-20,1,"Success","Success","Failure",17,NA,NA,7,6,7,6,1,1,"Victory","Victory-Govt",0,6,1,"No","None",0,"None","None",0,0,1,1,"Yes",90,"Few",2,NA,20000,0,43.9599990844727,43.9599990844727,25,460,422,130,548,548,599,599,NA,NA,NA,NA,2344860,18658960,NA,NA,NA,110,9,68,68,27,41.9000015258789,2958180,0.0759999975562096,21708630,95,1920,70,1,0,"Failure",0,0,0,0,0,0,1,9.90348720550537,1.16344261169434,0.000102899626654107,20000,0.0010718711419031,0.000178645190317184,9.90348720550537,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,16.7418365478516,1679306368,1679306368,0,0,0.0759999975562096,133.208618164062,95,90,8100,90,41.9000015258789,3771.00024414062,599,0,0,0,0,1,0,0.371444553136826,0.000304773013340309,0.0387675240635872,95,95,0.165374755859375,0.165374755859375,0.151020601391792,0.151020601391792,-3.03053283691406,0.0460654050111771,-5.01081705093384,0.00662132073193789,-4.34989929199219,0.012743616476655,-0.147897467017174,0.463092893362045,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,-0.75524377822876,0.319679796695709,-2.83829689025879,0.0552894286811352,-3.11010193824768,0.0426924787461758,1.09189975261688,0.748739302158356,-5.18254899978638,0.00558234145864844,-0.980547189712524,0.272783219814301,-0.194057166576385,0.451637387275696,4.00794458389282,0.982153594493866,-0.62729412317276,0.348124325275421,3.57470750808716,0.972740292549133
"9",1,"ETH1",48,"ETH","ETH","Eritrean",74,91,3,5,0,0,0,0,0,1,"Yes","Yes","No","Yes","Yes","No",11,11,NA,11,11,NA,11,11,NA,1,"Success","Success",NA,0,6,5,6,4,NA,NA,1,1,"Victory","Victory-Rebels",0,204,1,"No","None",0,"None","None",0,0,1,1,"Yes",69,"Few",2,50000,150000,780500,41,45.2599983215332,600,249,283,76,296,299,300,300,NA,NA,NA,NA,1097000,34759760,NA,NA,NA,155,4,84,66.8000030517578,27,32.4199981689453,193300000,0.046000000089407,170700000,16.2255268096924,751,100,1,1,"Success",1,1,1,1,0,0,1,11.9183902740479,4.9108510017395,2.16054431803059e-05,930500,0.0267694592475891,0.000131222841446288,13.7434778213501,"<3",1,0,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,4,17.3639717102051,2398423552,2398423552,0,0,0.046000000089407,67.8588027954102,16.2255268096924,69,4761,759,32.4199981689453,2236.97998046875,300,0,0,0,1,0,0,0.489199608564377,0.00128643633797765,0.0165059883147478,16.2255268096924,16.2255268096924,0.0915309265255928,0.0915309265255928,0.136903375387192,0.136903375387192,-3.07599115371704,0.0441085323691368,-5.05627536773682,0.00632892781868577,-4.39535713195801,0.0121841887012124,-0.193355649709702,0.451811134815216,-3.30943822860718,0.0352488197386265,-2.57688522338867,0.0706409439444542,-2.80797815322876,0.0568945705890656,-4.89103126525879,0.00745763583108783,-5.16283655166626,0.005692841950804,-0.960834741592407,0.276711106300354,-5.2280068397522,0.00533558521419764,-1.02600538730621,0.263859272003174,-2.24679160118103,0.0956265777349472,1.95521008968353,0.87601363658905,-0.672752320766449,0.337880820035934,3.52924942970276,0.971508622169495
"10",7,"KEN",78,"KEN","KEN","Kenya",91,93,5,5,0,0,0,0,0,1,"Yes","Yes",NA,"No","No",NA,5,11,NA,5,11,NA,-10,-10,NA,0,"Failure","Failure",NA,NA,NA,NA,NA,NA,NA,NA,3,3,"War","War",0,24,1,"No","None",0,"None","None",0,0,0,0,"No",83,"Many",4,NA,1500,300000,56.810001373291,52.0200004577637,NA,NA,NA,794,794,794,914,914,NA,NA,NA,NA,580370,8332000,NA,NA,NA,62,5,28.8999996185303,22,49,54.3899993896484,189506944,0.0850000008940697,1.26e+08,134,1711,81,0,0,"Failure",0,0,0,0,0,0,1,7.31322050094604,15.1224193572998,0.000205352858756669,301500,0.0361857898533344,0.00150774128269404,12.6165256500244,"3+",0,1,1,0,0,0,0,1,0,0,0,0,"Weak","None",1,0,0,0,0,0,16,15.9356136322021,691555968,691555968,0,0,0.0850000008940697,165.562271118164,134,83,6889,415,54.3899993896484,4514.3701171875,914,0,0,0,0,0,0,0.468516051769257,0.00396143738180399,0.0581373497843742,134,134,0.257062166929245,0.257062166929245,0.21967950463295,0.21967950463295,-3.00802731513977,0.0470645390450954,-4.98831129074097,0.00677100801840425,-4.32739353179932,0.0130298938602209,-0.125391840934753,0.468693047761917,-5.46530532836914,0.00421322276815772,-4.73275232315063,0.00872540846467018,-2.20554614067078,0.0992535501718521,-4.28859949111938,0.0135383307933807,-4.5604043006897,0.0103495959192514,-0.358402609825134,0.411346316337585,-5.16004323959351,0.00570867536589503,-0.958041548728943,0.277270466089249,-1.64435958862305,0.161872729659081,2.55764222145081,0.928085267543793,-0.604788482189178,0.353248924016953,3.59721326828003,0.973330736160278
